id,series_id,year,period,value,footnote_codes,original_file
164,CEU5552410030,2016,M13,1210.29,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
165,CEU5552410031,2016,M13,517.05,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
166,CEU5552410032,2016,M13,12.98,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
167,CEU5552410034,2016,M13,105.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
168,CEU5552410035,2016,M13,162.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
169,CEU5552410081,2016,M13,48684,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
170,CEU5552410082,2016,M13,1478929,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
171,CEU5552411007,2016,M13,38.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
172,CEU5552411008,2016,M13,30.26,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
173,CEU5552411030,2016,M13,1177.63,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
174,CEU5552411031,2016,M13,503.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
175,CEU5552411032,2016,M13,12.93,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
176,CEU5552411034,2016,M13,107.6,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
177,CEU5552411035,2016,M13,172.3,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
178,CEU5552411081,2016,M13,25034,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
179,CEU5552411082,2016,M13,757551,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
180,CEU5552412007,2016,M13,41.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
181,CEU5552412008,2016,M13,30.02,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
182,CEU5552412030,2016,M13,1232.22,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
183,CEU5552412031,2016,M13,526.42,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
184,CEU5552412032,2016,M13,12.82,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
185,CEU5552412034,2016,M13,103.2,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
186,CEU5552412035,2016,M13,151.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
187,CEU5552412081,2016,M13,22974,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
188,CEU5552412082,2016,M13,689602,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
189,CEU5552413007,2016,M13,36.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
190,CEU5552413008,2016,M13,46.63,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
191,CEU5552413030,2016,M13,1699.97,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
192,CEU5552413031,2016,M13,726.25,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
193,CEU5552413032,2016,M13,19.92,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
194,CEU5552413034,2016,M13,89.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
195,CEU5552413035,2016,M13,211.8,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
196,CEU5552413081,2016,M13,694,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
197,CEU5552413082,2016,M13,32356,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
198,CEU5552420007,2016,M13,36.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
199,CEU5552420008,2016,M13,26.17,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
200,CEU5552420030,2016,M13,953.37,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
201,CEU5552420031,2016,M13,407.29,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
202,CEU5552420032,2016,M13,11.18,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
203,CEU5552420034,2016,M13,139.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
204,CEU5552420035,2016,M13,206.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
205,CEU5552420081,2016,M13,32251,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
206,CEU5552420082,2016,M13,844118,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
207,CEU5552421007,2016,M13,36,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
208,CEU5552421008,2016,M13,25.45,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
209,CEU5552421030,2016,M13,916.77,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
210,CEU5552421031,2016,M13,391.65,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
211,CEU5552421032,2016,M13,10.87,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
212,CEU5552421034,2016,M13,135.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
213,CEU5552421035,2016,M13,199.8,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
214,CEU5552421081,2016,M13,22405,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
215,CEU5552421082,2016,M13,570163,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
216,CEU5552429007,2016,M13,37.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
217,CEU5552429008,2016,M13,27.82,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
218,CEU5552429030,2016,M13,1040.84,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
219,CEU5552429031,2016,M13,444.66,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
220,CEU5552429032,2016,M13,11.89,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
221,CEU5552429034,2016,M13,147,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
222,CEU5552429035,2016,M13,220.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
223,CEU5552429081,2016,M13,9858,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
224,CEU5552429082,2016,M13,274236,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
